some_id,name,alternative_names,latitude,longitude,iso_alpha_2,region_id,population
1685692,South Upi,"Looy,South Upi",6.83333,124.15,PH,14,12538
1685755,Sorsogon,,12.97389,123.99333,PH,5,82730
1685875,Solano,"Solano,Солано",16.51918,121.18124,PH,2,36222
1685880,Solana,"Solana,Solano",17.6528,121.691,PH,2,71475
1685925,Sogod,Sogod,10.3847,124.9814,PH,8,8303
1685936,Socorro,"Soccoro,Socorro",13.0669,121.39858,PH,41,5543
1685938,Socorro,Socorro,9.62139,125.96667,PH,13,9743
1686004,Sitangkai,"Si Tangkay,Sitangkai,Sitankai,Venice of the Philippines",4.66115,119.39647,PH,14,17200
1686007,Sison,Baley na Sison,16.17389,120.51528,PH,1,9256
1686045,Sirib,"Serib,Sirib",7.13333,125.40722,PH,11,5008
1686066,Siquijor,"Siguijor,Siquijor",9.2142,123.515,PH,7,10259
1686078,Sipocot,"Sipoco,Sipocot",13.768,122.9762,PH,5,12916
1686102,Sipalay,,9.75194,122.40417,PH,6,24029
1686123,Siocon,"Siacon,Sicogon,Siocin,Siocon,Siokon,Siokun,XSO",7.70611,122.13528,PH,9,5071
1686191,Sinilian First,"Sinilian,Sinilian First,Sinilian Primero",15.69327,120.45936,PH,3,5040
1686234,Sindangan,Sindangan,8.2376,122.9974,PH,9,5718
1686290,Sinamar,Sinamar,16.9,121.56667,PH,2,6012
1686435,Silway 7,"Silway,Silway 7,Silway Pito,Silway Seven",6.17711,125.12068,PH,12,7893
1686547,Silang,,14.21567,120.97137,PH,40,119475
1686728,Sibulan,Sibulan,9.3584,123.285,PH,NIR,28079
1686732,Sibulan,Sibulan,6.93361,125.46222,PH,11,9021
1686737,Sibul,"Sibul,Sibul Springs",15.169,121.0616,PH,3,8225
1686777,Sibonga,Sibonga,10.0168,123.6171,PH,7,11993
1686819,Sibalom,Sibalom,10.79,122.0178,PH,6,7295
1686868,Siaton,Siaton,9.0648,123.0339,PH,7,7328
1686874,Siasi,"Banting,Maddas,Muddas,SSV,Si Ase,Siasi",5.5462,120.8145,PH,14,12566
1686933,Sexmoan,"Sasmoan,Sasmuan,Sexmoan",14.9438,120.6229,PH,3,21124
1686992,Semirara,Semirara,12.06967,121.39861,PH,6,5470
1687029,Sebu,Sebu,6.22,124.69361,PH,12,21767
1687147,Sarrat,Sarrat,18.1574,120.647,PH,1,5822
1687164,Sariaya,Sariaya,13.9624,121.5265,PH,40,44977
1687186,Sarangani,"Sarangani,Сарангани",5.40333,125.46361,PH,11,7506
