name,iso_code,latitude,longitude
Andorra la Vella,AD-07,NULL,NULL
Canillo,AD-02,NULL,NULL
Encamp,AD-03,NULL,NULL
Escaldes-Engordany,AD-08,NULL,NULL
La Massana,AD-04,NULL,NULL
Ordino,AD-05,NULL,NULL
Sant Julia de Loria,AD-06,42.465031,1.491064
Abu Dhabi,AE-01,NULL,NULL
Ajman,AE-02,25.41222,55.434738
Dubai,AE-03,NULL,NULL
Fujairah,AE-04,NULL,NULL
Ras Al Khaimah,AE-05,NULL,NULL
Sharjah,AE-06,NULL,NULL
Umm Al Quwain,AE-07,NULL,NULL
Badakhshan,AF-01,36.962134,72.48409
Badghis,AF-02,35.267697,63.88498
Baghlan,AF-03,36.1276,68.6891
Balkh,AF-30,36.7597,66.8897
Bamian,AF-05,NULL,NULL
Farah,AF-06,32.3754,62.1123
Faryab,AF-07,36.186405,64.849624
Ghazni,AF-08,33.5533,68.426
Ghowr,AF-09,34.154854,64.905668
Helmand,AF-10,31.791489,64.565208
Herat,AF-11,NULL,NULL
Jowzjan,AF-31,36.701094,65.9608
Kabol,AF-13,NULL,NULL
Kandahar,AF-23,NULL,NULL
Kapisa,AF-14,34.871027,69.729433
Khowst,AF-37,33.3394,69.9148
Konar,AF-15,35.025774,71.170784
Kondoz,AF-24,NULL,NULL
Laghman,AF-16,34.796748,70.311782
Lowgar,AF-17,33.943638,69.204366
Nangarhar,AF-18,NULL,NULL
Nimruz,AF-19,30.801132,62.212044
Nurestan,AF-38,34.93742,70.375687
Oruzgan,AF-20,32.93021,66.636429
Paktia,AF-21,33.682466,69.481928
Paktika,AF-29,32.493147,68.764845
Parvan,AF-22,NULL,NULL
Samangan,AF-32,35.935035,67.898998
Sar-e Pol,AF-33,NULL,NULL
Takhar,AF-26,NULL,NULL
Vardak,AF-27,34.19443,68.270509
Zabol,AF-28,32.248099,67.183598
Barbuda,AG-01,17.637099,-61.809593
Saint George,AG-03,NULL,NULL
Saint John,AG-04,NULL,NULL
Saint Mary,AG-05,NULL,NULL
Saint Paul,AG-06,NULL,NULL
Saint Peter,AG-07,NULL,NULL
Saint Philip,AG-08,NULL,NULL
Berat,AL-40,40.707495,19.972282
Diber,AL-41,NULL,NULL
Durres,AL-42,41.330831,19.442902
Elbasan,AL-43,NULL,NULL
Fier,AL-44,NULL,NULL
Gjirokaster,AL-45,40.075965,20.150654
Korce,AL-46,40.623001,20.785239
Kukes,AL-47,42.065326,20.440384
Lezhe,AL-48,NULL,NULL
Shkoder,AL-49,42.066251,19.522997
Tirane,AL-50,NULL,NULL
Vlore,AL-51,40.473662,19.488411
Aragatsotn,AM-01,NULL,NULL
Ararat,AM-02,NULL,NULL
Armavir,AM-03,NULL,NULL
Geghark'unik',AM-04,NULL,NULL
Kotayk',AM-05,NULL,NULL
Lorri,AM-06,NULL,NULL
Shirak,AM-07,NULL,NULL
Syunik',AM-08,NULL,NULL
Tavush,AM-09,NULL,NULL
Vayots' Dzor,AM-10,NULL,NULL
Yerevan,AM-11,NULL,NULL
Bengo,AO-19,-9.016666,13.920003
Benguela,AO-01,NULL,NULL
Bie,AO-02,-12.4,17.4319
Cabinda,AO-03,-5.5616,12.185
Cuando Cubango,AO-04,-15.95284,19.759604
Cuanza Norte,AO-05,-8.85,14.925
Cuanza Sul,AO-06,NULL,NULL
Cunene,AO-07,-16.316481,15.28353
Huambo,AO-08,-12.7677,15.738
Huila,AO-09,NULL,NULL
Luanda,AO-20,-8.8135,13.2319
Lunda Norte,AO-17,NULL,NULL
Lunda Sul,AO-18,-9.958333,20.389265
Malanje,AO-12,NULL,NULL
Moxico,AO-14,-11.85,20.033333
Uige,AO-15,-7.602778,15.02775
Zaire,AO-16,NULL,NULL
Buenos Aires,AR-01,NULL,NULL
Catamarca,AR-02,NULL,NULL
Chaco,AR-03,NULL,NULL
Chubut,AR-04,NULL,NULL
Cordoba,AR-05,NULL,NULL
Corrientes,AR-06,NULL,NULL
Distrito Federal,AR-07,NULL,NULL
Entre Rios,AR-08,NULL,NULL
Formosa,AR-09,NULL,NULL
Jujuy,AR-10,NULL,NULL
La Pampa,AR-11,NULL,NULL
La Rioja,AR-12,NULL,NULL
Mendoza,AR-13,NULL,NULL
Misiones,AR-14,NULL,NULL
Neuquen,AR-15,NULL,NULL
Rio Negro,AR-16,NULL,NULL
Salta,AR-17,NULL,NULL
San Juan,AR-18,NULL,NULL
San Luis,AR-19,NULL,NULL
Santa Cruz,AR-20,NULL,NULL
Santa Fe,AR-21,NULL,NULL
Santiago del Estero,AR-22,NULL,NULL
Tierra del Fuego,AR-23,NULL,NULL
Tucuman,AR-24,NULL,NULL
Burgenland,AT-01,NULL,NULL
Karnten,AT-02,NULL,NULL
Niederosterreich,AT-03,NULL,NULL
Oberosterreich,AT-04,NULL,NULL
Salzburg,AT-05,NULL,NULL
Steiermark,AT-06,NULL,NULL
Tirol,AT-07,NULL,NULL
Vorarlberg,AT-08,NULL,NULL
Wien,AT-09,NULL,NULL
Australian Capital Territory,AU-01,NULL,NULL
New South Wales,AU-02,NULL,NULL
Northern Territory,AU-03,NULL,NULL
Queensland,AU-04,NULL,NULL
South Australia,AU-05,NULL,NULL
Tasmania,AU-06,NULL,NULL
Victoria,AU-07,NULL,NULL
Western Australia,AU-08,NULL,NULL
Abseron,AZ-01,NULL,NULL
Agcabadi,AZ-02,NULL,NULL
Agdam,AZ-03,39.9837,46.928612
Agdas,AZ-04,NULL,NULL
Agstafa,AZ-05,NULL,NULL
Agsu,AZ-06,NULL,NULL
Ali Bayramli,AZ-07,NULL,NULL
Astara,AZ-08,38.44,48.8752
Baki,AZ-09,NULL,NULL
Balakan,AZ-10,NULL,NULL
Barda,AZ-11,40.38316,47.118622
Beylaqan,AZ-12,NULL,NULL
Bilasuvar,AZ-13,NULL,NULL
Cabrayil,AZ-14,NULL,NULL
Calilabad,AZ-15,NULL,NULL
Daskasan,AZ-16,NULL,NULL
Davaci,AZ-17,NULL,NULL
Fuzuli,AZ-18,NULL,NULL
Gadabay,AZ-19,NULL,NULL
Ganca,AZ-20,NULL,NULL
Goranboy,AZ-21,NULL,NULL
Goycay,AZ-22,NULL,NULL
Haciqabul,AZ-23,NULL,NULL
Imisli,AZ-24,NULL,NULL
Ismayilli,AZ-25,NULL,NULL
Kalbacar,AZ-26,NULL,NULL
Kurdamir,AZ-27,NULL,NULL
Lacin,AZ-28,NULL,NULL
Lankaran,AZ-29,NULL,NULL
Lerik,AZ-31,38.76685,48.405731
Masalli,AZ-32,NULL,NULL
Mingacevir,AZ-33,NULL,NULL
Naftalan,AZ-34,NULL,NULL
Naxcivan,AZ-35,NULL,NULL
Neftcala,AZ-36,NULL,NULL
Oguz,AZ-37,NULL,NULL
Qabala,AZ-38,NULL,NULL
Qax,AZ-39,NULL,NULL
Qazax,AZ-40,NULL,NULL
Qobustan,AZ-41,NULL,NULL
Quba,AZ-42,NULL,NULL
Qubadli,AZ-43,NULL,NULL
Qusar,AZ-44,NULL,NULL
Saatli,AZ-45,NULL,NULL
Sabirabad,AZ-46,40.005211,48.471931
Saki,AZ-47,NULL,NULL
Salyan,AZ-49,NULL,NULL
Samaxi,AZ-50,NULL,NULL
Samkir,AZ-51,NULL,NULL
Samux,AZ-52,NULL,NULL
Siyazan,AZ-53,NULL,NULL
Sumqayit,AZ-54,NULL,NULL
Susa,AZ-55,NULL,NULL
Tartar,AZ-57,NULL,NULL
Tovuz,AZ-58,NULL,NULL
Ucar,AZ-59,NULL,NULL
Xacmaz,AZ-60,NULL,NULL
Xankandi,AZ-61,39.812351,46.751671
Xanlar,AZ-62,NULL,NULL
Xizi,AZ-63,NULL,NULL
Xocali,AZ-64,NULL,NULL
Xocavand,AZ-65,NULL,NULL
Yardimli,AZ-66,NULL,NULL
Yevlax,AZ-67,NULL,NULL
Zangilan,AZ-69,NULL,NULL
Zaqatala,AZ-70,NULL,NULL
Zardab,AZ-71,NULL,NULL
Federation of Bosnia and Herzegovina,BA-01,NULL,NULL
Republika Srpska,BA-02,NULL,NULL
Christ Church,BB-01,NULL,NULL
Saint Andrew,BB-02,NULL,NULL
Saint George,BB-03,NULL,NULL
Saint James,BB-04,NULL,NULL
Saint John,BB-05,NULL,NULL
Saint Joseph,BB-06,13.20232,-59.52676
Saint Lucy,BB-07,NULL,NULL
Saint Michael,BB-08,NULL,NULL
Saint Peter,BB-09,NULL,NULL
Saint Philip,BB-10,NULL,NULL
Saint Thomas,BB-11,NULL,NULL
Bagerhat,BD-22,22.65707,89.80368
Bandarban,BD-04,22.1619,92.1803
Barguna,BD-25,NULL,NULL
Barisal,BD-01,22.400712,90.42992
Bhola,BD-23,22.679489,90.643913
Bogra,BD-24,24.8444,89.3784
Brahmanbaria,BD-26,NULL,NULL
Chandpur,BD-27,23.222309,90.650513
Chapai Nawabganj,BD-28,NULL,NULL
Chattagram,BD-29,NULL,NULL
Chuadanga,BD-30,23.640779,88.685478
Comilla,BD-05,23.4358,91.189
Cox's Bazar,BD-31,NULL,NULL
Dhaka,BD-32,23.70548,90.411295
Dinajpur,BD-33,25.6255,88.6404
Faridpur,BD-34,23.440359,89.512733
Feni,BD-35,22.991859,91.389702
Gaibandha,BD-36,NULL,NULL
Gazipur,BD-37,22.43,89.18
Gopalganj,BD-38,NULL,NULL
Habiganj,BD-39,24.379789,91.409088
Jaipurhat,BD-40,NULL,NULL
Jamalpur,BD-41,24.9162,89.9426
Jessore,BD-42,23.1833,89.1666
Jhalakati,BD-43,NULL,NULL
Jhenaidah,BD-44,NULL,NULL
Khagrachari,BD-45,NULL,NULL
Khulna,BD-46,22.912098,89.279507
Kishorganj,BD-47,24.4258,90.7846
Kurigram,BD-48,NULL,NULL
Kushtia,BD-49,23.9345,88.9936
Laksmipur,BD-50,NULL,NULL
Lalmonirhat,BD-51,NULL,NULL
Madaripur,BD-52,23.1654,90.1986
Magura,BD-53,26.28,88.51
Manikganj,BD-54,NULL,NULL
Meherpur,BD-55,23.7712,88.6425
Moulavibazar,BD-56,NULL,NULL
Munshiganj,BD-57,23.549971,90.525223
Mymensingh,BD-12,24.7557,90.3981
Naogaon,BD-58,24.80452,88.935257
Narail,BD-59,23.16,89.5
Narayanganj,BD-60,23.619,90.4979
Narsingdi,BD-61,NULL,NULL
Nator,BD-62,24.4145,88.9915
Netrakona,BD-63,24.886101,90.729134
Nilphamari,BD-64,25.93454,88.849564
Noakhali,BD-13,22.81008,91.099747
Pabna,BD-65,24.0048,89.2579
Panchagar,BD-66,NULL,NULL
Parbattya Chattagram,BD-67,NULL,NULL
Patuakhali,BD-15,22.355881,90.242104
Pirojpur,BD-68,22.573521,89.987373
Rajbari,BD-69,23.754089,89.65197
Rajshahi,BD-70,25.228028,88.954334
Rangpur,BD-71,25.75,89.2333
Satkhira,BD-72,22.704399,89.082939
