name,iso_code,latitude,longitude
"Satu Mare",RO-32,NULL,NULL
"Sibiu",RO-33,NULL,NULL
"Suceava",RO-34,NULL,NULL
"Teleorman",RO-35,NULL,NULL
"Timis",RO-36,NULL,NULL
"Tulcea",RO-37,NULL,NULL
"Valcea",RO-39,NULL,NULL
"Vaslui",RO-38,NULL,NULL
"Vrancea",RO-40,NULL,NULL
"Adygeya, Republic of",RU-01,NULL,NULL
"Aginsky Buryatsky AO",RU-02,NULL,NULL
"Altaisky krai",RU-04,NULL,NULL
"Amur",RU-05,NULL,NULL
"Arkhangel'sk",RU-06,NULL,NULL
"Astrakhan'",RU-07,NULL,NULL
"Bashkortostan",RU-08,NULL,NULL
"Belgorod",RU-09,NULL,NULL
"Bryansk",RU-10,NULL,NULL
"Buryat",RU-11,NULL,NULL
"Chechnya",RU-12,NULL,NULL
"Chelyabinsk",RU-13,NULL,NULL
"Chita",RU-14,NULL,NULL
"Chukot",RU-15,NULL,NULL
"Chuvashia",RU-16,NULL,NULL
"Dagestan",RU-17,NULL,NULL
"Evenk",RU-18,NULL,NULL
"Gorno-Altay",RU-03,NULL,NULL
"Ingush",RU-19,NULL,NULL
"Irkutsk",RU-20,NULL,NULL
"Ivanovo",RU-21,NULL,NULL
"Kabardin-Balkar",RU-22,NULL,NULL
"Kaliningrad",RU-23,NULL,NULL
"Kalmyk",RU-24,NULL,NULL
"Kaluga",RU-25,NULL,NULL
"Kamchatka",RU-26,NULL,NULL
"Karachay-Cherkess",RU-27,NULL,NULL
"Karelia",RU-28,NULL,NULL
"Kemerovo",RU-29,NULL,NULL
"Khabarovsk",RU-30,NULL,NULL
"Khakass",RU-31,NULL,NULL
"Khanty-Mansiy",RU-32,NULL,NULL
"Kirov",RU-33,NULL,NULL
"Komi",RU-34,NULL,NULL
"Komi-Permyak",RU-35,NULL,NULL
"Koryak",RU-36,NULL,NULL
"Kostroma",RU-37,NULL,NULL
"Krasnodar",RU-38,NULL,NULL
"Krasnoyarsk",RU-39,NULL,NULL
"Kurgan",RU-40,NULL,NULL
"Kursk",RU-41,NULL,NULL
"Leningrad",RU-42,NULL,NULL
"Lipetsk",RU-43,NULL,NULL
"Magadan",RU-44,NULL,NULL
"Mariy-El",RU-45,NULL,NULL
"Mordovia",RU-46,NULL,NULL
"Moscow City",RU-48,NULL,NULL
"Moskva",RU-47,NULL,NULL
"Murmansk",RU-49,NULL,NULL
"Nenets",RU-50,NULL,NULL
"Nizhegorod",RU-51,NULL,NULL
"North Ossetia",RU-68,NULL,NULL
"Novgorod",RU-52,NULL,NULL
"Novosibirsk",RU-53,NULL,NULL
"Omsk",RU-54,NULL,NULL
"Orel",RU-56,NULL,NULL
"Orenburg",RU-55,NULL,NULL
"Penza",RU-57,NULL,NULL
"Perm'",RU-58,NULL,NULL
"Primor'ye",RU-59,NULL,NULL
"Pskov",RU-60,NULL,NULL
"Rostov",RU-61,NULL,NULL
"Ryazan'",RU-62,NULL,NULL
"Saint Petersburg City",RU-66,NULL,NULL
"Sakha",RU-63,NULL,NULL
"Sakhalin",RU-64,NULL,NULL
"Samara",RU-65,NULL,NULL
"Saratov",RU-67,NULL,NULL
"Smolensk",RU-69,NULL,NULL
"Stavropol'",RU-70,NULL,NULL
"Sverdlovsk",RU-71,NULL,NULL
"Tambovskaya oblast",RU-72,NULL,NULL
"Tatarstan",RU-73,NULL,NULL
"Taymyr",RU-74,NULL,NULL
"Tomsk",RU-75,NULL,NULL
"Tula",RU-76,NULL,NULL
"Tuva",RU-79,NULL,NULL
"Tver'",RU-77,NULL,NULL
"Tyumen'",RU-78,NULL,NULL
"Udmurt",RU-80,NULL,NULL
"Ul'yanovsk",RU-81,NULL,NULL
"Ust-Orda Buryat",RU-82,NULL,NULL
"Vladimir",RU-83,NULL,NULL
"Volgograd",RU-84,NULL,NULL
"Vologda",RU-85,NULL,NULL
"Voronezh",RU-86,NULL,NULL
"Yamal-Nenets",RU-87,NULL,NULL
"Yaroslavl'",RU-88,NULL,NULL
"Yevrey",RU-89,NULL,NULL
"Butare",RW-01,NULL,NULL
"Byumba",RW-02,-1.622023,30.12122
"Cyangugu",RW-03,-2.4868,28.903087
"Gikongoro",RW-04,-2.5075,29.5954
"Gisenyi",RW-05,-1.69535,29.260534
"Gitarama",RW-06,-2.079396,29.7552
"Kibungo",RW-07,-2.178961,30.545739
"Kibuye",RW-08,-2.053539,29.375439
"Kigali",RW-09,NULL,NULL
"Ruhengeri",RW-10,-1.503638,29.628554
"Al Bahah",SA-02,NULL,NULL
"Al Hudud ash Shamaliyah",SA-15,29.809083,41.890762
"Al Jawf",SA-03,29.563376,39.879017
"Al Madinah",SA-05,NULL,NULL
"Al Qasim",SA-08,25.974025,43.117052
"Al Qurayyat",SA-09,NULL,NULL
"Ar Riyad",SA-10,NULL,NULL
"Ash Sharqiyah",SA-06,NULL,NULL
"Ha'il",SA-13,27.091878,41.895261
"Jizan",SA-17,NULL,NULL
"Makkah",SA-14,NULL,NULL
"Najran",SA-16,18.209735,45.682905
"Tabuk",SA-19,28.150092,37.33449
"Central",SB-05,NULL,NULL
"Guadalcanal",SB-06,-9.595812,160.208984
"Isabel",SB-07,NULL,NULL
"Makira",SB-08,NULL,NULL
"Malaita",SB-03,-8.979573,160.9702
"Temotu",SB-09,NULL,NULL
"Western",SB-04,NULL,NULL
"Anse aux Pins",SC-01,NULL,NULL
"Anse Boileau",SC-02,-4.7137,55.486
"Anse Etoile",SC-03,NULL,NULL
"Anse Louis",SC-04,NULL,NULL
"Anse Royale",SC-05,NULL,NULL
"Baie Lazare",SC-06,NULL,NULL
"Baie Sainte Anne",SC-07,NULL,NULL
"Beau Vallon",SC-08,NULL,NULL
"Bel Air",SC-09,NULL,NULL
"Bel Ombre",SC-10,NULL,NULL
"Cascade",SC-11,NULL,NULL
"Glacis",SC-12,NULL,NULL
"Grand' Anse",SC-13,NULL,NULL
"La Digue",SC-15,-4.353773,55.836973
"La Riviere Anglaise",SC-16,NULL,NULL
"Mont Buxton",SC-17,NULL,NULL
"Mont Fleuri",SC-18,NULL,NULL
"Plaisance",SC-19,NULL,NULL
"Pointe La Rue",SC-20,NULL,NULL
"Port Glaud",SC-21,NULL,NULL
"Saint Louis",SC-22,NULL,NULL
"Takamaka",SC-23,NULL,NULL
"Al Istiwa'iyah",SD-28,NULL,NULL
"Al Khartum",SD-29,NULL,NULL
"Al Wusta",SD-27,NULL,NULL
