name,iso_code,latitude,longitude
"Doncaster",GB-D5,NULL,NULL
"Dorset",GB-D6,NULL,NULL
"Down",GB-R9,NULL,NULL
"Dudley",GB-D7,NULL,NULL
"Dumfries and Galloway",GB-U2,NULL,NULL
"Dundee City",GB-U3,NULL,NULL
"Dungannon",GB-S1,NULL,NULL
"Durham",GB-D8,NULL,NULL
"Dyfed",GB-91,52.129642,-4.357746
"Ealing",GB-D9,NULL,NULL
"East Ayrshire",GB-U4,NULL,NULL
"East Dunbartonshire",GB-U5,NULL,NULL
"East Lothian",GB-U6,NULL,NULL
"East Renfrewshire",GB-U7,NULL,NULL
"East Riding of Yorkshire",GB-E1,NULL,NULL
"East Sussex",GB-E2,NULL,NULL
"Edinburgh, City of",GB-U8,NULL,NULL
"Eilean Siar",GB-W8,NULL,NULL
"Enfield",GB-E3,NULL,NULL
"Essex",GB-E4,NULL,NULL
"Falkirk",GB-U9,NULL,NULL
"Fermanagh",GB-S2,NULL,NULL
"Fife",GB-V1,NULL,NULL
"Flintshire",GB-Y1,NULL,NULL
"Gateshead",GB-E5,NULL,NULL
"Glasgow City",GB-V2,NULL,NULL
"Gloucestershire",GB-E6,NULL,NULL
"Grampian",GB-82,52.87985,-1.495505
"Greater London",GB-17,NULL,NULL
"Greater Manchester",GB-18,53.442362,-2.23348
"Greenwich",GB-E7,NULL,NULL
"Gwent",GB-92,51.774147,-3.006797
"Gwynedd",GB-Y2,NULL,NULL
"Hackney",GB-E8,NULL,NULL
"Halton",GB-E9,NULL,NULL
"Hammersmith and Fulham",GB-F1,NULL,NULL
"Hampshire",GB-F2,NULL,NULL
"Haringey",GB-F3,NULL,NULL
"Harrow",GB-F4,NULL,NULL
"Hartlepool",GB-F5,NULL,NULL
"Havering",GB-F6,NULL,NULL
"Hereford and Worcester",GB-20,52.134277,-2.450174
"Herefordshire",GB-F7,NULL,NULL
"Hertford",GB-F8,NULL,NULL
"Highland",GB-V3,NULL,NULL
"Hillingdon",GB-F9,NULL,NULL
"Hounslow",GB-G1,NULL,NULL
"Humberside",GB-22,53.583093,-0.349013
"Inverclyde",GB-V4,NULL,NULL
"Isle of Anglesey",GB-X1,NULL,NULL
"Isle of Wight",GB-G2,NULL,NULL
"Islington",GB-G3,NULL,NULL
"Kensington and Chelsea",GB-G4,NULL,NULL
"Kent",GB-G5,NULL,NULL
"Kingston upon Hull, City of",GB-G6,NULL,NULL
"Kingston upon Thames",GB-G7,NULL,NULL
"Kirklees",GB-G8,NULL,NULL
"Knowsley",GB-G9,NULL,NULL
"Lambeth",GB-H1,NULL,NULL
"Lancashire",GB-H2,NULL,NULL
"Larne",GB-S3,NULL,NULL
"Leeds",GB-H3,NULL,NULL
"Leicester",GB-H4,NULL,NULL
"Leicestershire",GB-H5,NULL,NULL
"Lewisham",GB-H6,NULL,NULL
"Limavady",GB-S4,NULL,NULL
"Lincolnshire",GB-H7,NULL,NULL
"Lisburn",GB-S5,NULL,NULL
"Liverpool",GB-H8,NULL,NULL
"London, City of",GB-H9,NULL,NULL
"Lothian",GB-84,55.886686,-3.608939
"Luton",GB-I1,NULL,NULL
"Magherafelt",GB-S7,NULL,NULL
"Manchester",GB-I2,NULL,NULL
"Medway",GB-I3,NULL,NULL
"Merseyside",GB-28,NULL,NULL
"Merthyr Tydfil",GB-Y3,NULL,NULL
"Merton",GB-I4,NULL,NULL
"Mid Glamorgan",GB-94,51.65536,-3.400905
"Middlesbrough",GB-I5,NULL,NULL
"Midlothian",GB-V5,NULL,NULL
"Milton Keynes",GB-I6,NULL,NULL
"Monmouthshire",GB-Y4,NULL,NULL
"Moray",GB-V6,NULL,NULL
"Moyle",GB-S8,NULL,NULL
"Neath Port Talbot",GB-Y5,NULL,NULL
"Newcastle upon Tyne",GB-I7,NULL,NULL
"Newham",GB-I8,NULL,NULL
"Newport",GB-Y6,NULL,NULL
"Newry and Mourne",GB-S9,NULL,NULL
"Newtownabbey",GB-T1,NULL,NULL
"Norfolk",GB-I9,NULL,NULL
"North Ayrshire",GB-V7,NULL,NULL
"North Down",GB-T2,NULL,NULL
"North East Lincolnshire",GB-J2,NULL,NULL
"North Lanarkshire",GB-V8,NULL,NULL
"North Lincolnshire",GB-J3,NULL,NULL
"North Somerset",GB-J4,NULL,NULL
"North Tyneside",GB-J5,NULL,NULL
"North Yorkshire",GB-J7,NULL,NULL
"Northamptonshire",GB-J1,NULL,NULL
"Northumberland",GB-J6,NULL,NULL
"Nottingham",GB-J8,NULL,NULL
"Nottinghamshire",GB-J9,NULL,NULL
"Oldham",GB-K1,NULL,NULL
"Omagh",GB-T3,NULL,NULL
"Orkney",GB-V9,NULL,NULL
"Oxfordshire",GB-K2,NULL,NULL
"Pembrokeshire",GB-Y7,NULL,NULL
"Perth and Kinross",GB-W1,NULL,NULL
"Peterborough",GB-K3,NULL,NULL
"Plymouth",GB-K4,NULL,NULL
"Poole",GB-K5,NULL,NULL
"Portsmouth",GB-K6,NULL,NULL
"Powys",GB-Y8,NULL,NULL
"Reading",GB-K7,NULL,NULL
"Redbridge",GB-K8,NULL,NULL
"Redcar and Cleveland",GB-K9,NULL,NULL
"Renfrewshire",GB-W2,NULL,NULL
"Rhondda Cynon Taff",GB-Y9,NULL,NULL
"Richmond upon Thames",GB-L1,NULL,NULL
"Rochdale",GB-L2,NULL,NULL
"Rotherham",GB-L3,NULL,NULL
"Rutland",GB-L4,NULL,NULL
"Salford",GB-L5,NULL,NULL
"Sandwell",GB-L7,NULL,NULL
"Scottish Borders, The",GB-T9,NULL,NULL
"Sefton",GB-L8,NULL,NULL
"Sheffield",GB-L9,NULL,NULL
"Shetland Islands",GB-W3,NULL,NULL
"Shropshire",GB-L6,NULL,NULL
