iso_code,name
MV-46,Thaa Atholhu
MV-45,Shaviyani Atholhu
MV-01,Seenu
MV-44,Raa Atoll
MV-43,Noonu Atoll
MV-42,Gnyaviyani Atoll
MV-41,Meemu Atholhu
MV-39,Lhaviyani Atholhu
MV-05,Laamu
MV-38,Kaafu Atoll
MV-37,Haa Dhaalu Atholhu
MV-36,Haa Alifu Atholhu
MV-35,Gaafu Dhaalu Atholhu
MV-34,Gaafu Alifu Atholhu
MV-33,Faafu Atholhu
MV-32,Dhaalu Atholhu
MV-31,Baa Atholhu
MV-30,Northern Ari Atoll
MV-10346475,Southern Ari Atoll
MW-S,Southern Region
MW-N,Northern Region
MW-C,Central Region
MX-31,Yucatan
MX-30,Veracruz
MX-29,Tlaxcala
MX-28,Tamaulipas
MX-27,Tabasco
MX-23,Quintana Roo
MX-22,Queretaro
MX-21,Puebla
MX-20,Oaxaca
MX-19,Nuevo Leon
MX-17,Morelos
MX-15,Mexico
MX-13,Hidalgo
MX-12,Guerrero
MX-09,Mexico City
MX-05,Chiapas
MX-04,Campeche
MX-32,Zacatecas
MX-26,Sonora
MX-25,Sinaloa
MX-24,San Luis Potosi
MX-18,Nayarit
MX-16,Michoacan
MX-14,Jalisco
MX-11,Guanajuato
MX-10,Durango
MX-08,Colima
MX-07,Coahuila
MX-06,Chihuahua
MX-03,Baja California Sur
MX-02,Baja California
MX-01,Aguascalientes
MY-04,Melaka
MY-13,Terengganu
MY-12,Selangor
MY-11,Sarawak
MY-16,Sabah
MY-08,Perlis
MY-07,Perak
MY-06,Pahang
MY-05,Negeri Sembilan
MY-03,Kelantan
MY-14,Kuala Lumpur
MY-09,Penang
MY-02,Kedah
MY-01,Johor
MY-15,Labuan
MY-17,Putrajaya
MZ-09,Zambezia
MZ-08,Tete
MZ-05,Sofala
MZ-07,Niassa
MZ-06,Nampula
MZ-04,Maputo
MZ-10,Manica
MZ-03,Inhambane
MZ-02,Gaza
MZ-01,Cabo Delgado
MZ-11,Maputo City
NA-28,Zambezi
NA-21,Khomas
NA-29,Erongo
NA-30,Hardap
NA-31,Karas
NA-32,Kunene
NA-33,Ohangwena
NA-35,Omaheke
NA-36,Omusati
NA-37,Oshana
NA-38,Oshikoto
NA-39,Otjozondjupa
NA-40,Kavango East
NA-41,Kavango West
NC-02,South Province
NC-01,North Province
NC-03,Loyalty Islands
NE-07,Zinder
NE-06,Tahoua
NE-04,Maradi
NE-03,Dosso
NE-02,Diffa
NE-01,Agadez
NE-09,Tillaberi
NE-08,Niamey
NG-51,Sokoto
NG-50,Rivers
NG-49,Plateau
NG-32,Oyo
NG-48,Ondo
NG-16,Ogun
NG-31,Niger
NG-05,Lagos
NG-30,Kwara
NG-24,Katsina
NG-29,Kano
NG-23,Kaduna
NG-28,Imo
NG-22,Cross River
NG-27,Borno
NG-26,Benue
NG-46,Bauchi
NG-25,Anambra
NG-21,Akwa Ibom
NG-11,FCT
NG-45,Abia
NG-36,Delta
NG-35,Adamawa
NG-37,Edo
NG-47,Enugu
NG-39,Jigawa
NG-52,Bayelsa
NG-53,Ebonyi
NG-54,Ekiti
NG-55,Gombe
NG-56,Nassarawa
NG-57,Zamfara
NG-40,Kebbi
NG-41,Kogi
NG-42,Osun
NG-43,Taraba
NG-44,Yobe
NI-15,Rivas
NI-14,Rio San Juan
NI-13,Nueva Segovia
NI-12,Matagalpa
NI-11,Masaya
NI-10,Managua
NI-09,Madriz
NI-08,Leon
NI-07,Jinotega
NI-06,Granada
NI-05,Esteli
NI-04,Chontales
NI-03,Chinandega
NI-02,Carazo
NI-01,Boaco
NI-17,Atlantico Norte (RAAN)
NI-18,Atlantico Sur
NL-11,South Holland
NL-10,Zeeland
NL-09,Utrecht
NL-15,Overijssel
NL-07,North Holland
NL-06,North Brabant
NL-05,Limburg
NL-04,Groningen
NL-03,Gelderland
NL-02,Friesland
NL-01,Drenthe
NL-16,Flevoland
NO-05,Finnmark
NO-20,Vestfold
NO-19,Vest-Agder
NO-18,Troms
NO-17,Telemark
NO-16,Sor-Trondelag
NO-15,Sogn og Fjordane
NO-14,Rogaland
NO-13,Ostfold
NO-12,Oslo
NO-11,Oppland
NO-10,Nord-Trondelag
NO-09,Nordland
NO-08,More og Romsdal
NO-07,Hordaland
NO-06,Hedmark
NO-04,Buskerud
NO-02,Aust-Agder
NO-01,Akershus
NP-FR,Far Western
NP-MR,Mid Western
NP-CR,Central Region
NP-ER,Eastern Region
NP-WR,Western Region
NP-00,Patheka
NR-14,Yaren
NR-13,Uaboe
NR-12,Nibok
NR-11,Meneng
NR-10,Ijuw
NR-09,Ewa
NR-08,Denigomodu
NR-07,Buada
NR-06,Boe
NR-05,Baiti
NR-04,Anibare
NR-03,Anetan
NR-02,Anabar
NR-01,Aiwo
NZ-G2,Wellington
NZ-F3,Manawatu-Wanganui
NZ-G1,Waikato
NZ-TAS,Tasman
NZ-F9,Taranaki
NZ-F8,Southland
NZ-E8,Bay of Plenty
NZ-F6,Northland
NZ-F4,Marlborough
NZ-F2,Hawke's Bay
NZ-F1,Gisborne
NZ-E9,Canterbury
NZ-E7,Auckland
NZ-10,Chatham Islands
NZ-F5,Nelson
NZ-F7,Otago
NZ-G3,West Coast
OM-01,Ad Dakhiliyah
OM-02,Al Batinah South
OM-03,Al Wusta
OM-04,Southeastern Governorate
OM-09,Az Zahirah
OM-06,Muscat
OM-07,Musandam
OM-08,Dhofar
OM-10,Al Buraimi
OM-12,Northeastern Governorate
OM-11,Al Batinah North
PA-10,Veraguas
PA-09,Guna Yala
PA-08,Panama
PA-07,Los Santos
PA-06,Herrera
PA-05,Darien
PA-04,Colon
PA-03,Cocle
PA-02,Chiriqui
PA-01,Bocas del Toro
PA-11,Embera
PA-12,Ngoebe-Bugle
PA-13,Panama Oeste
PE-25,Ucayali
PE-24,Tumbes
PE-22,San Martin
PE-20,Piura
PE-16,Loreto
PE-14,Lambayeque
PE-13,La Libertad
PE-10,Huanuco
PE-06,Cajamarca
PE-02,Ancash
PE-01,Amazonas
PE-23,Tacna
PE-21,Puno
PE-19,Pasco
PE-18,Moquegua
PE-17,Madre de Dios
PE-LMA,Lima
PE-15,Lima region
PE-12,Junin
PE-11,Ica
PE-09,Huancavelica
PE-08,Cusco
PE-07,Callao
PE-05,Ayacucho
PE-04,Arequipa
PE-03,Apurimac
PF-04,Iles Marquises
PF-03,Iles Tuamotu-Gambier
PF-02,Leeward Islands
PF-01,Iles du Vent
PF-05,Iles Australes
PG-17,West New Britain
PG-06,Western Province
PG-16,Western Highlands
PG-05,Southern Highlands
PG-18,Sandaun
PG-07,Bougainville
PG-04,Northern Province
PG-15,New Ireland
PG-20,National Capital
PG-14,Morobe
PG-13,Manus
PG-12,Madang
PG-02,Gulf
PG-19,Enga
PG-11,East Sepik
PG-10,East New Britain
PG-09,Eastern Highlands
PG-08,Chimbu
PG-03,Milne Bay
PG-01,Central Province
PG-21,Hela
PG-22,Jiwaka
PH-14,ARMM
PH-10,Northern Mindanao
PH-41,Mimaropa
PH-02,Cagayan Valley
PH-12,Soccsksargen
PH-13,Caraga
PH-15,Cordillera
PH-01,Ilocos
PH-40,Calabarzon
PH-06,Western Visayas
PH-03,Central Luzon
PH-07,Central Visayas
PH-08,Eastern Visayas
PH-09,Zamboanga Peninsula
PH-11,Davao
PH-05,Bicol
PH-NCR,Metro Manila
PH-NIR,Negros Island Region
PK-08,Islamabad
PK-05,Sindh
PK-04,Punjab
PK-03,Khyber Pakhtunkhwa
PK-07,Gilgit-Baltistan
PK-01,FATA
PK-02,Balochistan
PK-06,Azad Kashmir
PL-75,Lublin
PL-77,Lesser Poland Voivodeship
PL-78,Mazovia
PL-80,Subcarpathian Voivodeship
PL-81,Podlasie
PL-84,Swietokrzyskie
PL-85,Warmia-Masuria
PL-72,Lower Silesia
PL-74,Lodz Voivodeship
PL-76,Lubusz
PL-79,Opole Voivodeship
PL-82,Pomerania
PL-83,Silesia
PL-86,Greater Poland
PL-87,West Pomerania
PL-73,Kujawsko-Pomorskie
PM-97502,Saint-Pierre
PM-97501,Miquelon-Langlade
PR-001,Adjuntas
PR-003,Aguada
PR-005,Aguadilla
PR-007,Aguas Buenas
PR-009,Aibonito
PR-011,Anasco
PR-013,Arecibo
PR-015,Arroyo
PR-017,Barceloneta
PR-019,Barranquitas
PR-021,Bayamon
PR-023,Cabo Rojo
PR-025,Caguas
PR-027,Camuy
PR-029,Canovanas
PR-031,Carolina
PR-033,Catano
PR-035,Cayey
PR-037,Ceiba
PR-039,Ciales
PR-041,Cidra
PR-043,Coamo
PR-045,Comerio
PR-047,Corozal
PR-049,Culebra
PR-051,Dorado
PR-053,Fajardo
PR-054,Florida
PR-055,Guanica
PR-057,Guayama
PR-059,Guayanilla
PR-061,Guaynabo
PR-063,Gurabo
PR-065,Hatillo
PR-067,Hormigueros
PR-069,Humacao
PR-071,Isabela
PR-073,Municipio de Jayuya
PR-075,Juana Diaz
PR-077,Municipio de Juncos
PR-079,Lajas
PR-081,Lares
PR-083,Las Marias
PR-085,Las Piedras
PR-087,Loiza
PR-089,Luquillo
PR-091,Manati
PR-093,Maricao
PR-095,Maunabo
PR-097,Mayaguez
PR-099,Moca
PR-101,Morovis
PR-103,Naguabo
PR-105,Naranjito
PR-107,Orocovis
PR-109,Patillas
PR-111,Penuelas
PR-113,Ponce
PR-117,Rincon
PR-115,Quebradillas
PR-119,Rio Grande
PR-121,Sabana Grande
PR-123,Salinas
PR-125,San German
PR-127,San Juan
PR-129,San Lorenzo
PR-131,San Sebastian
PR-133,Santa Isabel Municipio
PR-135,Toa Alta
PR-137,Toa Baja
PR-139,Trujillo Alto
PR-141,Utuado
PR-143,Vega Alta
PR-145,Vega Baja
PR-149,Villalba
PR-151,Yabucoa
PR-153,Yauco
PR-147,Vieques
PS-GZ,Gaza Strip
PS-WE,West Bank
PT-19,Setubal
PT-18,Santarem
PT-16,Portalegre
PT-14,Lisbon
PT-13,Leiria
PT-09,Faro
PT-08,Evora
PT-06,Castelo Branco
PT-03,Beja
PT-10,Madeira
PT-22,Viseu
PT-21,Vila Real
PT-20,Viana do Castelo
PT-17,Porto
PT-11,Guarda
PT-07,Coimbra
PT-05,Braganca
PT-04,Braga
PT-02,Aveiro
PT-23,Azores
PW-11,Ngatpang
PW-16,Sonsorol
