name,iso_code,latitude,longitude
"Colombo",LK-23,6.921484,79.852779
"Galle",LK-06,6.0308,80.2387
"Gampaha",LK-24,7.089895,79.999413
"Hambantota",LK-07,6.1233,81.1174
"Jaffna",LK-25,9.6663,80.0203
"Kalutara",LK-09,6.5894,79.9573
"Kandy",LK-10,7.3016,80.6476
"Kegalla",LK-11,7.2546,80.3411
"Kurunegala",LK-12,7.4805,80.3664
"Mannar",LK-26,8.9725,79.911
"Matale",LK-14,7.4437,80.6114
"Matara",LK-15,5.976,80.425
"Moneragala",LK-16,NULL,NULL
"Mullaittivu",LK-27,9.223421,80.790939
"Nuwara Eliya",LK-17,6.9658,80.7578
"Polonnaruwa",LK-18,7.932857,81.008087
"Puttalam",LK-19,8.033396,79.82579
"Ratnapura",LK-20,6.6847,80.4036
"Trincomalee",LK-21,8.5766,81.2309
"Vavuniya",LK-28,8.756166,80.493141
"Bong",LR-01,6.616856,-9.199711
"Grand Bassa",LR-11,NULL,NULL
"Grand Cape Mount",LR-04,NULL,NULL
"Grand Jide",LR-02,NULL,NULL
"Lofa",LR-05,NULL,NULL
"Maryland",LR-06,38.903555,-76.896904
"Monrovia",LR-07,6.300387,-10.79573
"Montserrado",LR-14,NULL,NULL
"Nimba",LR-09,7.5,-8.583333
"Sino",LR-10,5.284467,-8.941356
"Berea",LS-10,-29.2,27.808333
"Butha-Buthe",LS-11,-28.830807,28.455025
"Leribe",LS-12,-28.958333,28.108333
"Mafeteng",LS-13,-29.82243,27.23902
"Maseru",LS-14,NULL,NULL
"Mohales Hoek",LS-15,-30.158529,27.480089
"Mokhotlong",LS-16,-29.28936,29.06063
"Qachas Nek",LS-17,-30.125959,28.702419
"Quthing",LS-18,-30.411449,27.716221
"Thaba-Tseka",LS-19,-29.625,28.484013
"Alytaus Apskritis",LT-56,NULL,NULL
"Kauno Apskritis",LT-57,NULL,NULL
"Klaipedos Apskritis",LT-58,NULL,NULL
"Marijampoles Apskritis",LT-59,NULL,NULL
"Panevezio Apskritis",LT-60,NULL,NULL
"Siauliu Apskritis",LT-61,NULL,NULL
"Taurages Apskritis",LT-62,NULL,NULL
"Telsiu Apskritis",LT-63,NULL,NULL
"Utenos Apskritis",LT-64,NULL,NULL
"Vilniaus Apskritis",LT-65,NULL,NULL
"Diekirch",LU-01,NULL,NULL
"Grevenmacher",LU-02,NULL,NULL
"Luxembourg",LU-03,NULL,NULL
"Aizkraukles",LV-01,NULL,NULL
"Aluksnes",LV-02,NULL,NULL
"Balvu",LV-03,NULL,NULL
"Bauskas",LV-04,NULL,NULL
"Daugavpils",LV-06,NULL,NULL
"Dobeles",LV-08,NULL,NULL
"Gulbenes",LV-09,NULL,NULL
"Jelgava",LV-11,56.648416,23.713941
"Jelgavas",LV-12,NULL,NULL
"Jurmala",LV-13,56.968154,23.770527
"Kuldigas",LV-15,NULL,NULL
"Limbazu",LV-18,NULL,NULL
"Ludzas",LV-19,NULL,NULL
"Madonas",LV-20,NULL,NULL
"Ogres",LV-21,NULL,NULL
"Preilu",LV-22,NULL,NULL
"Riga",LV-25,NULL,NULL
"Rigas",LV-26,NULL,NULL
"Saldus",LV-27,NULL,NULL
"Talsu",LV-28,NULL,NULL
"Tukuma",LV-29,NULL,NULL
"Valkas",LV-30,NULL,NULL
"Valmieras",LV-31,NULL,NULL
"Ventspils",LV-32,NULL,NULL
"Ajdabiya",LY-47,30.105851,20.836091
"Al",LY-03,32.652599,14.27167
"Al Fatih",LY-48,32.142551,20.883333
"Al Jabal al Akhdar",LY-49,32.54438,21.680775
"Al Jufrah",LY-05,28.491796,16.677305
"Al Khums",LY-50,32.652599,14.27167
"Al Kufrah",LY-08,24.132549,23.268591
"An Nuqat al Khams",LY-51,32.775,12.066666
"Ash Shati'",LY-13,27.540315,13.987545
"Awbari",LY-52,26.679131,12.72949
"Az Zawiyah",LY-53,31.983333,24.666667
"Banghazi",LY-54,NULL,NULL
"Darnah",LY-55,32.75735,22.6455
"Ghadamis",LY-56,30.139495,9.489738
"Gharyan",LY-57,30.350834,13.1
"Misratah",LY-58,NULL,NULL
"Murzuq",LY-30,24.844416,15.750545
"Sabha",LY-34,NULL,NULL
"Sawfajjin",LY-59,31.275,14.833639
"Surt",LY-60,31.20528,16.588369
"Tarabulus",LY-61,NULL,NULL
"Tarhunah",LY-41,32.291528,13.568472
"Tubruq",LY-42,32.087,23.9642
"Yafran",LY-62,31.675,12.199305
"Zlitan",LY-45,32.378107,14.583333
"Agadir",MA-01,NULL,NULL
"Al Hoceima",MA-02,35.249299,-3.937112
"Azilal",MA-03,31.9669,-6.5662
"Ben Slimane",MA-04,33.62328,-7.120642
"Beni Mellal",MA-05,32.350201,-6.358787
"Boulemane",MA-06,NULL,NULL
"Casablanca",MA-07,NULL,NULL
"Chaouen",MA-08,NULL,NULL
"El Jadida",MA-09,33.255909,-8.50783
"El Kelaa des Srarhna",MA-10,NULL,NULL
"Er Rachidia",MA-11,31.94474,-4.4006
"Essaouira",MA-12,NULL,NULL
"Fes",MA-13,NULL,NULL
"Figuig",MA-14,NULL,NULL
"Guelmim",MA-33,NULL,NULL
"Ifrane",MA-34,34.05,-3.766667
"Kenitra",MA-15,NULL,NULL
"Khemisset",MA-16,NULL,NULL
"Khenifra",MA-17,32.9382,-5.6674
"Khouribga",MA-18,32.88475,-6.91615
"Laayoune",MA-35,26.858333,-13.125
"Larache",MA-41,35.1918,-6.1536
"Marrakech",MA-19,NULL,NULL
"Meknes",MA-20,NULL,NULL
"Nador",MA-21,NULL,NULL
"Ouarzazate",MA-22,30.9173,-6.919119
"Oujda",MA-23,NULL,NULL
"Rabat-Sale",MA-24,NULL,NULL
"Safi",MA-25,NULL,NULL
"Settat",MA-26,NULL,NULL
"Sidi Kacem",MA-38,NULL,NULL
"Tan-Tan",MA-36,28.432649,-11.10033
"Tanger",MA-27,NULL,NULL
"Taounate",MA-37,NULL,NULL
"Taroudannt",MA-39,NULL,NULL
"Tata",MA-29,29.7428,-7.9726
"Taza",MA-30,34.2234,-4.0069
"Tetouan",MA-40,NULL,NULL
"Tiznit",MA-32,NULL,NULL
"La Condamine",MC-01,43.734664,7.421143
"Monaco",MC-02,43.732529,7.418907
"Monte-Carlo",MC-03,43.740439,7.425577
"Balti",MD-46,NULL,NULL
"Cahul",MD-47,NULL,NULL
"Chisinau",MD-48,NULL,NULL
"Edinet",MD-50,NULL,NULL
"Gagauzia",MD-51,NULL,NULL
"Lapusna",MD-52,NULL,NULL
"Orhei",MD-53,NULL,NULL
"Soroca",MD-54,NULL,NULL
"Stinga Nistrului",MD-49,NULL,NULL
"Tighina",MD-55,NULL,NULL
"Ungheni",MD-56,NULL,NULL
"Antananarivo",MG-05,NULL,NULL
"Antsiranana",MG-01,-13.96909,49.165152
"Fianarantsoa",MG-02,NULL,NULL
"Mahajanga",MG-03,NULL,NULL
"Toamasina",MG-04,NULL,NULL
"Toliara",MG-06,-21.930395,45.291124
